iterations  f(x)
1.0  2.3333333333333335
2.0  1.8616780045351473
3.0  1.722001880058607
4.0  1.7100597366002945
5.0  1.7099759507821892
6.0  1.7099759466766968
7.0  1.709975946676697
8.0  1.7099759466766968
9.0  1.709975946676697
10.0  1.7099759466766968
11.0  1.709975946676697
12.0  1.7099759466766968
13.0  1.709975946676697
14.0  1.7099759466766968
15.0  1.709975946676697
16.0  1.7099759466766968
17.0  1.709975946676697
18.0  1.7099759466766968
19.0  1.709975946676697
20.0  1.7099759466766968
