-log10(h)  d/dx 1/x
0.3010299956639812  -2.0
0.6020599913279624  -2.666666666666667
0.9030899869919435  -3.1999999999999993
1.2041199826559248  -3.555555555555557
1.505149978319906  -3.764705882352942
1.806179973983887  -3.8787878787878753
2.1072099696478683  -3.9384615384615245
2.4082399653118496  -3.9689922480620226
2.709269960975831  -3.9844357976653555
3.010299956639812  -3.9922027290449478
3.3113299523037933  -3.9960975609756133
3.612359947967774  -3.998047828208655
3.9133899436317554  -3.9990236758603714
4.214419939295737  -3.999511778347369
4.515449934959718  -3.999755874276161
4.816479930623699  -3.9998779334127903
5.11750992628768  -3.9999389657750726
5.418539921951662  -3.9999694826547056
5.719569917615643  -3.9999847412109375
6.020599913279624  -3.9999923706054688
6.321629908943605  -3.9999961853027344
6.622659904607587  -3.999998092651367
6.923689900271567  -3.9999990463256836
7.224719895935548  -3.999999523162842
7.52574989159953  -3.999999761581421
7.826779887263511  -3.9999998807907104
8.127809882927492  -3.9999999403953552
8.428839878591473  -4.0
8.729869874255455  -4.0
9.030899869919436  -4.0
