-log10(h)  limit f(x)
0.3010299956639812  3.0607115713269173
0.6020599913279624  3.3870267034084853
0.9030899869919435  3.4715529852295965
1.2041199826559248  3.4928753905470025
1.505149978319906  3.4982180421237272
1.806179973983887  3.4995544601543997
2.1072099696478683  3.4998886118895665
2.4082399653118496  3.4999721527755696
2.709269960975831  3.499993038181591
3.010299956639812  3.499998259544629
3.3113299523037933  3.4999995648861097
3.612359947967774  3.499999891221525
3.9133899436317554  3.4999999728053814
4.214419939295737  3.4999999932013455
4.515449934959718  3.4999999983003365
4.816479930623699  3.4999999995750843
5.11750992628768  3.499999999893771
5.418539921951662  3.499999999973443
5.719569917615643  3.499999999993361
6.020599913279624  3.4999999999983404
6.321629908943605  3.499999999999585
6.622659904607587  3.4999999999998965
6.923689900271567  3.4999999999999742
7.224719895935548  3.499999999999994
7.52574989159953  3.4999999999999987
7.826779887263511  3.4999999999999996
8.127809882927492  3.5
8.428839878591473  3.5
8.729869874255455  3.5
9.030899869919436  3.5
