-log10(h)  error f(x)
0.3010299956639812  0.4392884286730827
0.6020599913279624  0.11297329659151467
0.9030899869919435  0.028447014770403456
1.2041199826559248  0.007124609452997532
1.505149978319906  0.0017819578762727772
1.806179973983887  4.455398456002513E-4
2.1072099696478683  1.1138811043354124E-4
2.4082399653118496  2.784722443038845E-5
2.709269960975831  6.9618184088682256E-6
3.010299956639812  1.7404553709354786E-6
3.3113299523037933  4.351138902514151E-7
3.612359947967774  1.0877847511636674E-7
3.9133899436317554  2.719461855704708E-8
4.214419939295737  6.798654528239467E-9
4.515449934959718  1.6996635210375644E-9
4.816479930623699  4.2491565821478616E-10
5.11750992628768  1.0622880353139408E-10
5.418539921951662  2.6556978838243595E-11
5.719569917615643  6.639133687258436E-12
6.020599913279624  1.659561377209684E-12
6.321629908943605  4.147793219999585E-13
6.622659904607587  1.0347278589506459E-13
6.923689900271567  2.5757174171303632E-14
7.224719895935548  6.217248937900877E-15
7.52574989159953  1.3322676295501878E-15
7.826779887263511  4.440892098500626E-16
8.127809882927492  0.0
8.428839878591473  0.0
8.729869874255455  0.0
9.030899869919436  0.0
