M  F(x)
2.0  0.6666666666666666
6.0  0.6368945341743197
10.0  0.6366546328116556
14.0  0.6366287944002235
18.0  0.6366230661446287
22.0  0.6366212466193338
26.0  0.6366205275798977
30.0  0.6366201982496408
34.0  0.6366200304349102
38.0  0.6366199377259613
42.0  0.6366198831572573
46.0  0.6366198493545084
50.0  0.6366198275157683
54.0  0.6366198129004262
58.0  0.6366198028217568
