M  error
2.0  0.030046894299085247
6.0  2.7476180673835504E-4
10.0  3.4860444074191754E-5
14.0  9.022032642080902E-6
18.0  3.2937770473306927E-6
22.0  1.474251752453526E-6
26.0  7.552123163501179E-7
30.0  4.258820593960877E-7
34.0  2.580673288399282E-7
38.0  1.653583798777447E-7
42.0  1.1078967587785371E-7
46.0  7.698692705560006E-8
50.0  5.5148186905995544E-8
54.0  4.053284485827646E-8
58.0  3.045417540370465E-8
